Designator,Mid X,Mid Y,Rotation,Layer
R36,-2.0,-19.25,270.0,top
R37,-40.75,36.75,270.0,top
R38,-34.0,36.75,270.0,top
R39,-27.25,36.75,270.0,top
R4,4.5,18.25,0.0,top
R40,-20.5,36.75,270.0,top
R41,-13.75,36.75,270.0,top
R42,-7.0,36.75,270.0,top
R43,2.75,33.5,270.0,top
R44,9.5,33.5,270.0,top
R45,16.25,33.5,270.0,top
R46,23.0,33.5,270.0,top
R47,29.75,33.5,270.0,top
R48,36.5,33.5,270.0,top
R49,-0.25,36.75,270.0,top
R5,18.25,-14.0,270.0,top
R50,6.5,36.75,270.0,top
R51,13.25,36.75,270.0,top
R52,20.0,36.75,270.0,top
R53,26.75,36.75,270.0,top
R54,33.5,36.75,270.0,top
R55,41.25,-37.25,90.0,top
R56,41.25,-32.75,90.0,top
R57,31.5,25.0,270.0,top
R58,31.5,18.25,270.0,top
R59,31.5,11.5,270.0,top
R6,19.25,-14.0,270.0,top
R60,31.5,4.75,270.0,top
R61,31.5,-2.0,270.0,top
R62,31.5,-8.75,270.0,top
R63,31.5,-15.5,270.0,top
R64,31.5,-22.25,270.0,top
R65,26.5,15.75,90.0,top
R66,-9.5,-6.75,180.0,top
R67,-26.5,-19.75,0.0,top
R68,-29.0,-19.75,0.0,top
R69,31.5,-39.75,270.0,top
R7,15.25,-14.0,270.0,top
R70,31.5,-37.75,270.0,top
R8,16.25,-14.0,270.0,top
R9,12.5,-16.5,0.0,top
RJ1,16.0,-40.64,0.0,top
SW1,-1.75,18.0,180.0,top
SW2,-3.75,-4.5,90.0,top
T1,16.0,-27.5,180.0,top
U1,13.0,6.0,270.0,top
U10,35.75,-39.25,270.0,top
U2,16.0,-17.0,0.0,top
U3,-35.5,20.999999,90.0,top
U4,-35.500001,7.0,90.0,top
U5,-29.0,-28.0,90.0,top
U6,-17.0,-8.5,180.0,top
U7,-6.745,-18.145001,90.0,top
U8,-10.5,6.75,180.0,top
U9,-38.750001,-4.5,0.0,top
USB1,45.0,-35.0,90.0,top
X1,22.75,-17.5,270.0,top
X2,-3.0,3.5,270.0,top
X3,-3.0,11.0,270.0,top
